historical_tricode,current_tricode,note
SEA,OKC,Seattle SuperSonics to Oklahoma City Thunder (2008)
VAN,MEM,Vancouver Grizzlies to Memphis Grizzlies (2001)
NJN,BKN,New Jersey Nets to Brooklyn Nets (2012)
NOH,NOP,New Orleans Hornets to New Orleans Pelicans (2013)
NOK,NOP,New Orleans/Oklahoma City Hornets to New Orleans Pelicans
